batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
1,32768,OK,manual,2.016723196133971,0.4255526392534375,21.101192274141326,72.83863250849627,6.060175217362405,0.15061759937554597,0.004710092209279537,1.4689535975456238,0.014774470590054989,0.27493503987789153,0.0021113967522978783,0.12221695933490992,0.003040313022211194,
2,32768,OK,manual,3.720118398293853,0.4388857593387365,11.797628794288414,84.82345078625193,3.3789204194596545,0.16343423984944822,0.006283120717853308,3.15553279876709,0.0039246706292033195,0.2754515194892883,0.001216326025314629,0.12569984018802643,0.005656020250171423,
4,32768,OK,manual,6.61659134875983,0.41870848000049593,6.328159892766777,91.74833609540232,1.923504011830901,0.161628800034523,0.0056486595422029495,6.0706124687194825,0.03265639767050743,0.2570796799659729,0.0074068717658519745,0.12727040003985166,0.0028847563080489635,
8,32768,OK,manual,12.574080687537789,0.42261376228183506,3.3609913343461275,95.58403849732665,1.0549701683272297,0.16317760076373816,0.004929796792566776,12.018814125061034,0.01564522087574005,0.2594361615180969,0.0014904951676726341,0.1326528001949191,0.00464222626760602,
16,32768,OK,manual,24.548153076618906,0.4275321613252163,1.7416062218237627,97.6903204106538,0.5680733675224552,0.1643411199748516,0.008553995750844479,23.981169395446777,0.04152628406882286,0.2631910413503647,0.0007628121529705822,0.1394515198469162,0.005691499449312687,
32,32768,OK,manual,48.42835700809955,0.42634047858417035,0.8803529686395631,98.81332864920604,0.3063183821543986,0.16925311975181104,0.02745893783867359,47.85367156982422,0.053840890526771545,0.25708735883235934,0.0010343040339648724,0.14834495969116687,0.030288806185126305,
64,32768,OK,manual,96.16324853185564,0.4323692796751857,0.4496200848830063,99.39433260736213,0.1560473077548667,0.16761215966194867,0.023563696071505547,95.58081909179687,0.06300245970487595,0.264757120013237,0.0011223872425034642,0.1500601603835821,0.012045374140143394,
1,65536,OK,manual,3.7897996777296066,0.4387462413311004,11.577029886549163,84.79551503096363,3.6274550824872107,0.1614688003063202,0.024274544790387154,3.2135801553726195,0.013160884380340576,0.27727744102478025,0.02150833234190941,0.13747328102588655,0.044086817651987076,
2,65536,OK,manual,7.284274570271373,0.4519366390258074,6.204277923161409,91.95021229441726,1.8455097824213242,0.17724479861557485,0.032848190516233444,6.6979059314727785,0.025468789041042328,0.27469184041023254,0.0009797516977414489,0.13443199977278708,0.016276920214295387,
4,65536,OK,manual,13.572694418281317,0.43648703958839175,3.215920333404686,95.7157417591459,1.0683379074494044,0.17442303981631993,0.022722579538822174,12.991205139160156,0.10492853820323944,0.26206399977207184,0.010700736194849014,0.14500223953276872,0.04438723996281624,
8,65536,OK,manual,26.383988980948928,0.4665100766345859,1.7681559713030448,97.61438591929618,0.6174581094007625,0.20439551960676908,0.05527001619338989,25.754568824768068,0.04134780168533325,0.2621145570278168,0.024284355342388153,0.16291007954627276,0.04221746698021889,
16,65536,OK,manual,51.960416810810564,0.43355327777564523,0.8343914548534623,98.88878859552952,0.2768199496170273,0.17051775924861431,0.02455182746052742,51.38302673339844,0.06016378477215767,0.26303551852703094,0.0007430200930684805,0.1438367996364832,0.014320707879960537,
32,65536,OK,manual,103.22532195817679,0.4226719998195767,0.40946542166352196,99.44813541058924,0.1423991677472276,0.16534911919385195,0.010096329264342785,102.65565795898438,0.10742411762475967,0.2573228806257248,0.0010796613059937954,0.14699199937283994,0.00807638093829155,
64,65536,OOM,manual,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.25
1,131072,OK,manual,6.780736003257334,0.3994271991401911,5.890617168229437,92.29327319610755,1.8161096356630189,0.14889151997864247,0.0052016968838870525,6.2581632041931154,0.01873701997101307,0.2505356791615486,0.0014604495372623205,0.12314559992402792,0.004101349972188473,
2,131072,OK,manual,13.98400393113494,0.440069120824337,3.1469464896569224,95.92494393025083,0.9281095800922379,0.16510912030935287,0.006260954774916172,13.414147930145264,0.029517777264118195,0.27496000051498415,0.0010469339322298765,0.12978688016533851,0.005983520764857531,
4,131072,OK,manual,26.623515536040067,0.4219865590333938,1.5850144150277734,97.92146458640788,0.4935209985643521,0.1626822406053543,0.01282105129212141,26.070136337280275,0.17398114502429962,0.2593043184280395,0.00891353189945221,0.13139263972640036,0.010208102874457836,
8,131072,OK,manual,52.402689273692665,0.4224512011557817,0.8061632084364453,98.93255676579659,0.26128002576696296,0.16394560106098652,0.004414907656610012,51.8433203125,0.05540306121110916,0.25850560009479523,0.0008529674378223717,0.13691776003688574,0.007077508140355349,
16,131072,OK,manual,104.11539880532771,0.4358579212054611,0.4186296419230137,99.43986153107176,0.14150882700523035,0.16753216084092856,0.010243434458971024,103.53220840454101,0.09899138659238815,0.2683257603645325,0.02524455264210701,0.14733247958123685,0.020190779119729996,
32,131072,OOM,manual,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.25
64,131072,OOM,manual,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160.5
